item_id,display_name,category,subcategory,required,obtained,has_stack,pct,obtain_method,difficulty,notes
minecraft:stone,Stone,Building,Basic,64,0,False,0.0,Mine with Silk Touch,,
minecraft:granite,Granite,Building,Basic,64,0,False,0.0,Mine,,
minecraft:polished_granite,Polished Granite,Building,Basic,64,0,False,0.0,Craft,,
minecraft:diorite,Diorite,Building,Basic,64,0,False,0.0,Mine,,
minecraft:polished_diorite,Polished Diorite,Building,Basic,64,0,False,0.0,Craft,,
minecraft:andesite,Andesite,Building,Basic,64,0,False,0.0,Mine,,
minecraft:polished_andesite,Polished Andesite,Building,Basic,64,0,False,0.0,Craft,,
minecraft:deepslate,Deepslate,Building,Deepslate,64,0,False,0.0,Mine with Silk Touch,,
minecraft:cobbled_deepslate,Cobbled Deepslate,Building,Deepslate,64,0,False,0.0,Mine,,
minecraft:polished_deepslate,Polished Deepslate,Building,Deepslate,64,0,False,0.0,Craft,,
minecraft:calcite,Calcite,Building,Basic,64,0,False,0.0,Mine with Silk Touch,,Found in amethyst geodes
minecraft:tuff,Tuff,Building,Basic,64,0,False,0.0,Mine,,
minecraft:dripstone_block,Dripstone Block,Building,Cave,64,0,False,0.0,Mine,,
minecraft:grass_block,Grass Block,Building,Nature,64,0,False,0.0,Mine with Silk Touch,,
minecraft:dirt,Dirt,Building,Nature,64,0,False,0.0,Mine,,
minecraft:coarse_dirt,Coarse Dirt,Building,Nature,64,0,False,0.0,Craft / found,,
minecraft:podzol,Podzol,Building,Nature,64,0,False,0.0,Mine with Silk Touch,,Mega Taiga biome
minecraft:rooted_dirt,Rooted Dirt,Building,Nature,64,0,False,0.0,Mine,,Found under azalea trees
minecraft:mud,Mud,Building,Nature,64,0,False,0.0,Use water bottle on dirt,,
minecraft:sand,Sand,Building,Nature,64,0,False,0.0,Mine,,
minecraft:red_sand,Red Sand,Building,Nature,64,0,False,0.0,Mine,,Badlands / mesa biome
minecraft:gravel,Gravel,Building,Nature,64,0,False,0.0,Mine,,
minecraft:coal_ore,Coal Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:deepslate_coal_ore,Deepslate Coal Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:iron_ore,Iron Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:deepslate_iron_ore,Deepslate Iron Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:copper_ore,Copper Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:deepslate_copper_ore,Deepslate Copper Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:gold_ore,Gold Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:deepslate_gold_ore,Deepslate Gold Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:redstone_ore,Redstone Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:deepslate_redstone_ore,Deepslate Redstone Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:emerald_ore,Emerald Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,Mountains only
minecraft:deepslate_emerald_ore,Deepslate Emerald Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:lapis_ore,Lapis Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:deepslate_lapis_ore,Deepslate Lapis Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:diamond_ore,Diamond Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:deepslate_diamond_ore,Deepslate Diamond Ore,Building,Ore,64,0,False,0.0,Mine with Silk Touch,,
minecraft:nether_gold_ore,Nether Gold Ore,Building,Nether,64,0,False,0.0,Mine with Silk Touch,,
minecraft:nether_quartz_ore,Nether Quartz Ore,Building,Nether,64,0,False,0.0,Mine with Silk Touch,,
minecraft:ancient_debris,Ancient Debris,Building,Nether,64,0,False,0.0,Mine,,Rarest block — Y8-22 Nether
minecraft:coal_block,Block of Coal,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:iron_block,Block of Iron,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:copper_block,Block of Copper,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:gold_block,Block of Gold,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:redstone_block,Block of Redstone,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:emerald_block,Block of Emerald,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:lapis_block,Block of Lapis Lazuli,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:diamond_block,Block of Diamond,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:netherite_block,Block of Netherite,Building,Crafted,64,0,False,0.0,Craft,,Requires 9 netherite ingots each
minecraft:amethyst_block,Block of Amethyst,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:raw_iron_block,Block of Raw Iron,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:raw_copper_block,Block of Raw Copper,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:raw_gold_block,Block of Raw Gold,Building,Crafted,64,0,False,0.0,Craft,,
minecraft:oak_log,Oak Log,Building,Wood,64,5,False,7.8,Chop,,
minecraft:spruce_log,Spruce Log,Building,Wood,64,0,False,0.0,Chop,,
minecraft:birch_log,Birch Log,Building,Wood,64,7,False,10.9,Chop,,
minecraft:jungle_log,Jungle Log,Building,Wood,64,0,False,0.0,Chop,,Jungle biome
minecraft:acacia_log,Acacia Log,Building,Wood,64,0,False,0.0,Chop,,Savanna biome
minecraft:dark_oak_log,Dark Oak Log,Building,Wood,64,0,False,0.0,Chop,,Dark Forest biome
minecraft:mangrove_log,Mangrove Log,Building,Wood,64,0,False,0.0,Chop,,Mangrove Swamp biome
minecraft:cherry_log,Cherry Log,Building,Wood,64,0,False,0.0,Chop,,Cherry Grove biome
minecraft:bamboo_block,Bamboo Block,Building,Wood,64,0,False,0.0,Craft,,
minecraft:crimson_stem,Crimson Stem,Building,Nether,64,0,False,0.0,Chop,,Crimson Forest
minecraft:warped_stem,Warped Stem,Building,Nether,64,0,False,0.0,Chop,,Warped Forest
minecraft:oak_sapling,Oak Sapling,Nature,Sapling,64,2,False,3.1,Drop from leaves,,
minecraft:spruce_sapling,Spruce Sapling,Nature,Sapling,64,0,False,0.0,Drop from leaves,,
minecraft:birch_sapling,Birch Sapling,Nature,Sapling,64,0,False,0.0,Drop from leaves,,
minecraft:jungle_sapling,Jungle Sapling,Nature,Sapling,64,0,False,0.0,Drop from leaves,,
minecraft:acacia_sapling,Acacia Sapling,Nature,Sapling,64,0,False,0.0,Drop from leaves,,
minecraft:dark_oak_sapling,Dark Oak Sapling,Nature,Sapling,64,0,False,0.0,Drop from leaves,,
minecraft:mangrove_propagule,Mangrove Propagule,Nature,Sapling,64,0,False,0.0,Drop from leaves,,
minecraft:cherry_sapling,Cherry Sapling,Nature,Sapling,64,0,False,0.0,Drop from leaves,,
minecraft:bamboo,Bamboo,Nature,Plant,64,0,False,0.0,Find in Jungle / Bamboo Forest,,
minecraft:sugar_cane,Sugar Cane,Nature,Plant,64,0,False,0.0,Mine,,Near water
minecraft:cactus,Cactus,Nature,Plant,64,0,False,0.0,Mine,,Desert
minecraft:dead_bush,Dead Bush,Nature,Plant,64,0,False,0.0,Mine with Shears,,Desert/Badlands
minecraft:fern,Fern,Nature,Plant,64,0,False,0.0,Mine with Shears,,Taiga
minecraft:large_fern,Large Fern,Nature,Plant,64,0,False,0.0,Mine with Shears,,
minecraft:grass,Short Grass,Nature,Plant,64,0,False,0.0,Mine with Shears,,
minecraft:tall_grass,Tall Grass,Nature,Plant,64,0,False,0.0,Mine with Shears,,
minecraft:seagrass,Seagrass,Nature,Aquatic,64,0,False,0.0,Mine with Shears,,
minecraft:sea_pickle,Sea Pickle,Nature,Aquatic,64,0,False,0.0,Mine,,Warm ocean
minecraft:kelp,Kelp,Nature,Aquatic,64,0,False,0.0,Mine,,Ocean
minecraft:lily_pad,Lily Pad,Nature,Aquatic,64,0,False,0.0,Mine,,Swamp
minecraft:vine,Vine,Nature,Plant,64,0,False,0.0,Mine with Shears,,Jungle/Swamp
minecraft:glow_berries,Glow Berries,Nature,Food,64,0,False,0.0,Mine,,Lush Caves
minecraft:sweet_berries,Sweet Berries,Nature,Food,64,0,False,0.0,Mine,,Taiga
minecraft:bush,Bush,Nature,New 1.21.5,64,0,False,0.0,Mine with Shears,,Temperate biomes
minecraft:cactus_flower,Cactus Flower,Nature,New 1.21.5,64,0,False,0.0,Mine,,Desert / Badlands — grows on cactus
minecraft:firefly_bush,Firefly Bush,Nature,New 1.21.5,64,0,False,0.0,Mine with Shears,,Swamp / Mangrove Swamp
minecraft:leaf_litter,Leaf Litter,Nature,New 1.21.5,64,0,False,0.0,Mine with Shears,,Forest floors
minecraft:wildflowers,Wildflowers,Nature,New 1.21.5,64,0,False,0.0,Mine with Shears,,Meadow biome
minecraft:short_dry_grass,Short Dry Grass,Nature,New 1.21.5,64,0,False,0.0,Mine with Shears,,Desert / Savanna
minecraft:tall_dry_grass,Tall Dry Grass,Nature,New 1.21.5,64,0,False,0.0,Mine with Shears,,Desert / Savanna
minecraft:dandelion,Dandelion,Nature,Flower,64,0,False,0.0,Mine,,
minecraft:poppy,Poppy,Nature,Flower,64,0,False,0.0,Mine,,
minecraft:blue_orchid,Blue Orchid,Nature,Flower,64,0,False,0.0,Mine,,Swamp only
minecraft:allium,Allium,Nature,Flower,64,0,False,0.0,Mine,,Flower Forest / Mountains
minecraft:azure_bluet,Azure Bluet,Nature,Flower,64,0,False,0.0,Mine,,Plains
minecraft:red_tulip,Red Tulip,Nature,Flower,64,0,False,0.0,Mine,,Plains
minecraft:orange_tulip,Orange Tulip,Nature,Flower,64,0,False,0.0,Mine,,Plains
minecraft:white_tulip,White Tulip,Nature,Flower,64,0,False,0.0,Mine,,Plains
minecraft:pink_tulip,Pink Tulip,Nature,Flower,64,0,False,0.0,Mine,,Plains
minecraft:oxeye_daisy,Oxeye Daisy,Nature,Flower,64,0,False,0.0,Mine,,Plains
minecraft:cornflower,Cornflower,Nature,Flower,64,0,False,0.0,Mine,,Plains / Meadow
minecraft:lily_of_the_valley,Lily of the Valley,Nature,Flower,64,0,False,0.0,Mine,,Flower Forest
minecraft:wither_rose,Wither Rose,Nature,Flower,64,0,False,0.0,Kill mobs with Wither,,High difficulty
minecraft:torchflower,Torchflower,Nature,Flower,64,0,False,0.0,Sniff egg,,Sniffer required
minecraft:pink_petals,Pink Petals,Nature,Flower,64,0,False,0.0,Mine,,Cherry Grove biome
minecraft:sunflower,Sunflower,Nature,Tall Flower,64,0,False,0.0,Mine with Shears,,Sunflower Plains
minecraft:lilac,Lilac,Nature,Tall Flower,64,0,False,0.0,Mine with Shears,,Forest
minecraft:rose_bush,Rose Bush,Nature,Tall Flower,64,0,False,0.0,Mine with Shears,,Forest
minecraft:peony,Peony,Nature,Tall Flower,64,0,False,0.0,Mine with Shears,,Forest
minecraft:pitcher_plant,Pitcher Plant,Nature,Tall Flower,64,0,False,0.0,Sniff egg,,Sniffer required
minecraft:brown_mushroom,Brown Mushroom,Nature,Mushroom,64,0,False,0.0,Mine,,Dark areas / Swamp
minecraft:red_mushroom,Red Mushroom,Nature,Mushroom,64,0,False,0.0,Mine,,Dark areas / Swamp
minecraft:crimson_fungus,Crimson Fungus,Nature,Nether,64,0,False,0.0,Mine,,Crimson Forest
minecraft:warped_fungus,Warped Fungus,Nature,Nether,64,0,False,0.0,Mine,,Warped Forest
minecraft:apple,Apple,Food,Basic,64,0,False,0.0,Drop from oak leaves,,
minecraft:bread,Bread,Food,Basic,64,0,False,0.0,Craft,,
minecraft:wheat,Wheat,Food,Crop,64,0,False,0.0,Grow,,
minecraft:carrot,Carrot,Food,Crop,64,0,False,0.0,Loot / Grow,,Village farms / zombie drop
minecraft:potato,Potato,Food,Crop,64,0,False,0.0,Loot / Grow,,Village farms / zombie drop
minecraft:baked_potato,Baked Potato,Food,Cooked,64,0,False,0.0,Smelt,,
minecraft:melon_slice,Melon Slice,Food,Crop,64,0,False,0.0,Grow / Jungle,,
minecraft:pumpkin,Pumpkin,Food,Crop,64,0,False,0.0,Find / Grow,,
minecraft:beef,Raw Beef,Food,Meat,64,0,False,0.0,Kill cow,,
minecraft:cooked_beef,Cooked Beef,Food,Cooked,64,0,False,0.0,Smelt / Kill with fire,,
minecraft:porkchop,Raw Porkchop,Food,Meat,64,0,False,0.0,Kill pig,,
minecraft:cooked_porkchop,Cooked Porkchop,Food,Cooked,64,0,False,0.0,Smelt,,
minecraft:chicken,Raw Chicken,Food,Meat,64,0,False,0.0,Kill chicken,,
minecraft:cooked_chicken,Cooked Chicken,Food,Cooked,64,0,False,0.0,Smelt,,
minecraft:mutton,Raw Mutton,Food,Meat,64,0,False,0.0,Kill sheep,,
minecraft:cooked_mutton,Cooked Mutton,Food,Cooked,64,0,False,0.0,Smelt,,
minecraft:rabbit,Raw Rabbit,Food,Meat,64,0,False,0.0,Kill rabbit,,
minecraft:cooked_rabbit,Cooked Rabbit,Food,Cooked,64,0,False,0.0,Smelt,,
minecraft:rabbit_stew,Rabbit Stew,Food,Stew,1,0,False,0.0,Craft,,
minecraft:mushroom_stew,Mushroom Stew,Food,Stew,1,0,False,0.0,Craft,,
minecraft:beetroot_soup,Beetroot Soup,Food,Stew,1,0,False,0.0,Craft,,
minecraft:suspicious_stew,Suspicious Stew,Food,Stew,1,0,False,0.0,Craft,,Multiple variants
minecraft:cod,Raw Cod,Food,Fish,64,0,False,0.0,Fish / Kill,,
minecraft:cooked_cod,Cooked Cod,Food,Fish,64,0,False,0.0,Smelt,,
minecraft:salmon,Raw Salmon,Food,Fish,64,0,False,0.0,Fish / Kill,,
minecraft:cooked_salmon,Cooked Salmon,Food,Fish,64,0,False,0.0,Smelt,,
minecraft:tropical_fish,Tropical Fish,Food,Fish,64,0,False,0.0,Fish / Kill,,Warm ocean
minecraft:pufferfish,Pufferfish,Food,Fish,64,0,False,0.0,Fish / Kill,,
minecraft:cookie,Cookie,Food,Basic,64,0,False,0.0,Craft,,
minecraft:cake,Cake,Food,Basic,1,0,False,0.0,Craft,,
minecraft:pumpkin_pie,Pumpkin Pie,Food,Basic,64,0,False,0.0,Craft,,
minecraft:honey_bottle,Honey Bottle,Food,Special,4,0,False,0.0,Use bottle on beehive,,
minecraft:golden_apple,Golden Apple,Food,Special,64,0,False,0.0,Craft / Chest,,
minecraft:enchanted_golden_apple,Enchanted Golden Apple,Food,Special,64,0,False,0.0,Chest loot only,,Cannot craft — dungeon/mineshaft loot
minecraft:golden_carrot,Golden Carrot,Food,Special,64,0,False,0.0,Craft,,
minecraft:blue_egg,Blue Egg,Food,New 1.21.5,16,0,False,0.0,Cold chicken variant,,Requires cold biome chicken
minecraft:brown_egg,Brown Egg,Food,New 1.21.5,16,0,False,0.0,Warm chicken variant,,Requires warm biome chicken
minecraft:wooden_pickaxe,Wooden Pickaxe,Tools,Pickaxe,1,0,False,0.0,Craft,,
minecraft:stone_pickaxe,Stone Pickaxe,Tools,Pickaxe,1,0,False,0.0,Craft,,
minecraft:iron_pickaxe,Iron Pickaxe,Tools,Pickaxe,1,0,False,0.0,Craft,,
minecraft:golden_pickaxe,Golden Pickaxe,Tools,Pickaxe,1,0,False,0.0,Craft,,
minecraft:diamond_pickaxe,Diamond Pickaxe,Tools,Pickaxe,1,0,False,0.0,Craft,,
minecraft:netherite_pickaxe,Netherite Pickaxe,Tools,Pickaxe,1,0,False,0.0,Craft,,
minecraft:wooden_axe,Wooden Axe,Tools,Axe,1,0,False,0.0,Craft,,
minecraft:stone_axe,Stone Axe,Tools,Axe,1,0,False,0.0,Craft,,
minecraft:iron_axe,Iron Axe,Tools,Axe,1,0,False,0.0,Craft,,
minecraft:golden_axe,Golden Axe,Tools,Axe,1,0,False,0.0,Craft,,
minecraft:diamond_axe,Diamond Axe,Tools,Axe,1,0,False,0.0,Craft,,
minecraft:netherite_axe,Netherite Axe,Tools,Axe,1,0,False,0.0,Craft,,
minecraft:wooden_shovel,Wooden Shovel,Tools,Shovel,1,0,False,0.0,Craft,,
minecraft:stone_shovel,Stone Shovel,Tools,Shovel,1,0,False,0.0,Craft,,
minecraft:iron_shovel,Iron Shovel,Tools,Shovel,1,0,False,0.0,Craft,,
minecraft:golden_shovel,Golden Shovel,Tools,Shovel,1,0,False,0.0,Craft,,
minecraft:diamond_shovel,Diamond Shovel,Tools,Shovel,1,0,False,0.0,Craft,,
minecraft:netherite_shovel,Netherite Shovel,Tools,Shovel,1,0,False,0.0,Craft,,
minecraft:wooden_hoe,Wooden Hoe,Tools,Hoe,1,0,False,0.0,Craft,,
minecraft:stone_hoe,Stone Hoe,Tools,Hoe,1,0,False,0.0,Craft,,
minecraft:iron_hoe,Iron Hoe,Tools,Hoe,1,0,False,0.0,Craft,,
minecraft:golden_hoe,Golden Hoe,Tools,Hoe,1,0,False,0.0,Craft,,
minecraft:diamond_hoe,Diamond Hoe,Tools,Hoe,1,0,False,0.0,Craft,,
minecraft:netherite_hoe,Netherite Hoe,Tools,Hoe,1,0,False,0.0,Craft,,
minecraft:shears,Shears,Tools,Special,1,0,False,0.0,Craft,,
minecraft:flint_and_steel,Flint and Steel,Tools,Special,1,0,False,0.0,Craft,,
minecraft:fishing_rod,Fishing Rod,Tools,Special,1,0,False,0.0,Craft,,
minecraft:compass,Compass,Tools,Navigation,1,0,False,0.0,Craft,,
minecraft:clock,Clock,Tools,Navigation,1,0,False,0.0,Craft,,
minecraft:map,Empty Map,Tools,Navigation,64,0,False,0.0,Craft,,
minecraft:spyglass,Spyglass,Tools,Navigation,1,0,False,0.0,Craft,,
minecraft:lead,Lead,Tools,Special,64,0,False,0.0,Craft,,
minecraft:name_tag,Name Tag,Tools,Special,64,0,False,0.0,Fishing / Chest,,
minecraft:brush,Brush,Tools,Special,1,0,False,0.0,Craft,,For archaeology
minecraft:saddle,Saddle,Tools,Special,1,0,False,0.0,Craft (1.21.6+) / Chest,,Now craftable in 1.21.6
minecraft:bucket,Bucket,Tools,Container,16,0,False,0.0,Craft,,
minecraft:water_bucket,Water Bucket,Tools,Container,1,0,False,0.0,Fill bucket,,
minecraft:lava_bucket,Lava Bucket,Tools,Container,1,0,False,0.0,Fill bucket,,
